2	1789230328.601851147	127.0.0.1	80	127.0.0.1	2359	1
5	1789230328.603360524	127.0.0.1	80	127.0.0.1	49115	1
8	1789230328.603969339	127.0.0.1	80	127.0.0.1	29548	1
11	1789230328.604823512	127.0.0.1	80	127.0.0.1	55744	1
