2	1789230328.601851147	127.0.0.1	80	127.0.0.1	2359	0x0012
3	1789230328.601856400	127.0.0.1	2359	127.0.0.1	80	0x0004
5	1789230328.603360524	127.0.0.1	80	127.0.0.1	49115	0x0012
6	1789230328.603365788	127.0.0.1	49115	127.0.0.1	80	0x0004
8	1789230328.603969339	127.0.0.1	80	127.0.0.1	29548	0x0012
9	1789230328.603987320	127.0.0.1	29548	127.0.0.1	80	0x0004
11	1789230328.604823512	127.0.0.1	80	127.0.0.1	55744	0x0012
12	1789230328.604828918	127.0.0.1	55744	127.0.0.1	80	0x0004
